,name,uri,danceability,energy,loudness,speechiness,acousticness,liveness
62,Show Me Love - Radio Edit,spotify:track:3F2VH3QlDct8h5NexnlBr6,0.658,0.851,-4.217,0.0555,0.508,0.0944
63,Show Me Love - EDX Remix / Radio Edit,spotify:track:6PkzXU8dlwtfrwyTlUyVnv,0.832,0.659,-5.831,0.0677,0.297,0.0704
64,This Girl - Kungs Vs. Cookin' On 3 Burners,spotify:track:4AOpEhqA7zHxQjkHmRrAp7,0.79,0.705,-4.684,0.0383,0.0807,0.251
65,Hot In Herre,spotify:track:5FLctoy4mpCxLJ1QPneTOV,0.957,0.737,-4.88,0.115,0.21,0.0616
66,Hey Ya! - Radio Mix,spotify:track:3AszgPDZd9q0DpDFt4HFBy,0.715,0.97,-2.206,0.0648,0.0644,0.205
67,Ignition - Remix,spotify:track:3zSCNTXI7Ed0PiidZVmzIe,0.778,0.549,-6.144,0.0473,0.0549,0.0724
68,+ 1 - Radio Edit,spotify:track:45GncesVxjHy0b2js9ylgD,0.767,0.807,-3.824,0.0368,0.114,0.0932
69,Intoxicated - Radio Edit,spotify:track:49aLCvvEKM5EA8IYwDmtaE,0.792,0.688,-4.008,0.0386,0.00435,0.0972
70,Make Me Feel Better - Radio Edit,spotify:track:5BFFWaGweYIYrtOlKHqPRr,0.683,0.822,-4.984,0.095,0.468,0.186
71,Body Language,spotify:track:38VErEiTizjEE6BjsmroFx,0.886,0.529,-5.766,0.0383,0.0175,0.0997
72,Heads Will Roll - A-Trak Remix Radio Edit,spotify:track:1pEfA887xLFhc4QLQeoaF0,0.68,0.765,-4.356,0.0703,0.0119,0.0665
73,Thinking About You (feat. Ayah Marar),spotify:track:1KtD0xaLAikgIt5tPbteZQ,0.725,0.874,-3.715,0.0396,0.00262,0.0958
74,Jumpman,spotify:track:46gjYTEK7W8ZTABcglGP2f,0.853,0.558,-7.448,0.202,0.0462,0.341
75,Memories (feat. Kid Cudi),spotify:track:5xYC48nOppVemY6U5GRGTb,0.546,0.916,-3.931,0.255,0.00147,0.251
76,Stronger,spotify:track:4y6c5vMzKKM3KsMbHtjKx5,0.617,0.717,-7.858,0.153,0.00564,0.408
77,Ayo,spotify:track:1N1yRlgw2AgZeVndoGRFIk,0.823,0.561,-5.1,0.0432,0.0418,0.0904
78,Truffle Butter,spotify:track:1H6FVVPoDB5R9SOkPLW2zz,0.896,0.674,-6.89,0.0499,0.0644,0.12
79,Trap Queen,spotify:track:3twQx3psUMJKj4wna5d1zU,0.746,0.873,-3.803,0.128,0.0244,0.354
80,679 (feat. Monty),spotify:track:1Eq1SFzyTIiOK21CQeUqxr,0.545,0.763,-5.528,0.407,0.00715,0.668
81,Ice Cream Man,spotify:track:6ZA3Q8Dj5BrnmOsT300DCh,0.902,0.67,-4.074,0.19,0.167,0.107
82,My Way (feat. Monty),spotify:track:7zpZQzTwWBN0eOsmb4WPH3,0.748,0.741,-3.103,0.0531,0.00419,0.147
83,Crank That (Soulja Boy),spotify:track:46qtEi9qJOXxmY0qel1wpN,0.732,0.731,-2.171,0.0924,0.526,0.0496
84,Rude Boy,spotify:track:5hlWtrnVUyAze5WkxF9P56,0.563,0.75,-4.496,0.127,0.113,0.0788
85,Day ‘N’ Nite - Radio Edit,spotify:track:3FlvxK3w42RGyx9FIg7uDr,0.771,0.729,-5.529,0.0552,0.121,0.117
86,All Eyes on You (feat. Chris Brown & Nicki Minaj),spotify:track:0hy1SOTEn9ifXTzOwnCwEr,0.589,0.658,-5.288,0.203,0.0242,0.118
87,The Water Dance (feat. Pitbull),spotify:track:7ouItOD31hjhdOYeIBcQaR,0.88,0.796,-5.537,0.106,0.173,0.199
88,R.I.C.O. (feat. Drake),spotify:track:0Y0TOsE1q11qgbi7c5WZsG,0.727,0.599,-6.941,0.327,0.317,0.219
89,I Luv This Shit,spotify:track:4IeUAegXVbETb7FpgNDnSM,0.643,0.592,-6.684,0.277,0.00475,0.222
90,Runaway (U & I) - Yacht Club Remix,spotify:track:5HYwRSalrvZC7ZTT8BuDR7,0.491,0.651,-6.772,0.0394,0.164,0.0995
91,No Role Modelz,spotify:track:62vpWI1CHwFy7tMIcSStl8,0.692,0.521,-8.465,0.33,0.301,0.0565
92,Birthday Cake,spotify:track:4EfN6bixdOOgoLYR5C4cWo,0.702,0.826,-6.498,0.0529,0.32,0.355
