,name,danceability,energy,loudness,speechiness,acousticness,liveness,tempo
106,Chateau (Feel Alright),0.641,0.365,-11.763,0.027,0.43,0.297,134.881
107,Goodie Bag,0.739,0.522,-12.304,0.151,0.821,0.233,138.263
108,Peach,0.646,0.681,-5.847,0.0764,0.683,0.107,131.896
109,If You Want To,0.666,0.527,-5.851,0.034,0.109,0.132,115.979
110,Habit,0.767,0.392,-11.996,0.0945,0.154,0.108,125.017
111,Skin,0.674,0.616,-3.471,0.0272,0.512,0.331,94.934
112,hot girl bummer,0.778,0.559,-7.109,0.0776,0.128,0.399,129.989
113,1 SIDED LOVE,0.584,0.42,-7.827,0.0322,0.236,0.119,90.051
114,Life Must Go On,0.715,0.551,-6.486,0.096,0.126,0.314,90.923
115,Jackie Chan,0.749,0.641,-5.268,0.0444,0.538,0.0775,140.08
116,Summer Girls,0.814,0.808,-5.034,0.155,0.161,0.0616,99.816
117,Smooth (feat. Rob Thomas),0.612,0.924,-3.877,0.0316,0.159,0.103,115.953
118,Karma Chameleon,0.661,0.552,-12.385,0.0337,0.214,0.206,92.056
119,We Built This City,0.661,0.908,-4.897,0.039,0.052,0.0708,144.091
120,Snow (Hey Oh),0.427,0.9,-3.674,0.0499,0.116,0.119,104.655
